Median_Household_Income_2018,PCTPOVALL_2018,Percent of adults with a high school diploma only 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,Obesity_prevalence,diabetes_prevalence,COPD_prevalence,Heart disease_number
59901.0,9.6,33.2,19.5,32.5,10.8,9.2,8.0
32868.0,30.5,34.1,8.6,37.9,19.4,11.1,9.6
51939.0,10.4,30.8,22.7,36.3,10.8,7.3,7.8
54823.0,11.2,38.2,23.7,33.8,11.5,8.3,7.9
55602.0,12.2,38.7,17.2,36.9,12.8,10.4,8.5
47343.0,19.2,29.8,21.3,42.9,14.0,7.8,7.1
64799.0,8.9,28.8,30.4,33.0,11.3,7.2,7.8
66827.0,9.7,23.0,37.8,25.0,8.6,5.5,5.7
64053.0,8.2,29.0,22.4,30.2,10.1,7.8,7.7
45130.0,16.0,38.0,18.2,36.2,14.0,10.9,8.7
84021.0,6.5,28.9,32.2,30.7,11.8,8.3,8.0
62800.0,7.9,41.4,17.2,37.6,12.2,9.2,8.1
49522.0,17.0,39.0,18.0,40.3,14.6,10.7,8.6
61883.0,12.6,29.4,20.4,40.4,13.4,7.8,7.9
36976.0,29.1,33.4,15.1,41.0,18.0,11.6,10.8
54434.0,11.5,33.0,25.5,30.8,10.9,6.8,8.8
45389.0,25.4,16.1,49.5,24.9,6.9,4.8,4.8
60828.0,9.4,33.2,8.9,31.5,11.8,11.4,8.6
50580.0,13.0,35.7,19.2,32.8,14.2,9.4,8.8
54292.0,12.7,30.0,19.5,34.2,11.3,8.7,8.0
54440.0,14.8,37.1,19.5,34.7,14.2,11.5,10.0
37659.0,33.9,48.6,12.4,29.1,11.9,7.6,8.0
57464.0,18.9,17.9,51.1,28.4,7.3,4.6,4.8
30691.0,29.9,42.6,11.5,38.0,16.5,14.8,11.8
39934.0,17.5,37.6,19.8,36.2,13.9,11.3,10.7
77684.0,7.0,32.6,28.1,32.4,10.4,7.3,7.0
53553.0,11.1,38.1,21.3,31.7,11.8,9.5,8.9
58228.0,10.7,29.7,28.3,27.7,14.2,10.7,11.0
41485.0,19.2,28.8,19.7,28.7,12.9,7.5,8.5
65987.0,7.5,22.4,33.0,29.6,10.3,6.2,7.2
57069.0,9.7,23.3,27.7,27.2,10.8,6.3,7.2
48764.0,14.6,44.2,15.4,34.2,12.6,10.5,9.3
48763.0,17.3,32.9,15.8,35.4,12.5,8.5,9.0
42742.0,19.0,23.8,16.6,31.7,11.8,9.0,9.0
50949.0,13.3,36.0,19.3,36.3,12.1,8.4,8.1
39725.0,22.9,26.9,15.8,40.9,16.1,7.6,8.8
65273.0,10.0,38.5,10.6,39.3,13.8,6.4,7.1
42909.0,24.1,42.8,12.7,39.5,15.1,10.5,9.0
53840.0,12.0,26.5,34.8,34.5,9.9,6.7,6.4
47747.0,15.3,27.6,20.9,37.4,12.2,8.2,8.0
54552.0,10.2,40.2,17.5,34.3,11.2,9.3,8.3
51027.0,17.1,38.8,12.9,41.8,15.2,12.6,10.0
47757.0,17.4,36.4,20.0,31.9,14.3,11.0,10.0
60773.0,9.7,36.4,22.5,31.4,10.2,8.3,7.4
57471.0,10.1,38.4,17.1,31.5,10.9,6.8,7.8
40887.0,15.4,34.0,18.4,34.0,13.4,10.6,9.4
49482.0,13.7,32.6,29.6,30.3,11.4,8.6,8.6
63442.0,7.5,34.5,25.6,31.4,9.2,6.6,7.1
45058.0,13.2,34.9,22.6,38.3,11.6,7.9,8.5
49585.0,10.7,36.5,14.2,36.1,12.0,7.8,8.0
64633.0,11.1,43.1,23.3,34.7,14.4,7.2,9.2
73981.0,8.5,30.1,29.5,22.7,11.0,5.4,6.7
51491.0,13.2,34.7,15.8,33.2,12.7,9.5,8.6
50376.0,16.0,29.6,18.4,33.3,13.9,9.6,9.0
58057.0,8.6,30.4,28.2,33.2,10.4,8.4,7.0
67923.0,9.9,20.2,37.9,24.2,7.5,5.0,5.0
58335.0,9.2,35.8,20.5,30.4,9.9,6.0,7.0
48056.0,13.6,46.7,13.3,35.1,14.3,12.0,10.0
64524.0,9.2,34.1,20.5,35.3,12.1,7.5,8.8
51046.0,20.7,19.1,45.7,30.0,9.6,6.8,5.9
67597.0,7.6,35.9,23.0,40.3,10.0,6.6,7.2
45227.0,19.1,32.3,15.9,29.9,14.1,10.3,10.1
56976.0,9.2,32.7,19.0,34.2,11.4,9.6,8.3
42188.0,18.4,43.2,14.0,33.8,14.9,12.7,10.4
44715.0,14.0,45.8,14.8,37.6,13.9,11.0,9.8
55787.0,10.4,29.6,14.5,41.9,11.9,7.3,7.4
56690.0,12.3,31.5,32.1,33.8,13.9,9.5,9.4
46068.0,14.1,41.4,11.9,36.7,13.0,11.5,9.8
42265.0,18.1,46.2,10.0,36.8,14.1,12.5,9.6
47487.0,17.1,23.9,37.0,31.6,8.6,5.7,6.3
57284.0,12.0,36.0,16.5,38.0,13.0,9.8,8.3
47757.0,16.7,34.9,14.7,37.1,15.6,10.7,10.0
87267.0,5.2,18.0,49.4,29.8,7.1,4.3,4.6
59838.0,14.2,22.6,30.7,35.7,11.6,6.3,6.3
50554.0,11.2,46.1,19.3,35.5,12.5,9.3,8.8
53866.0,9.7,38.0,19.5,35.8,14.8,9.7,10.1
40287.0,20.7,35.6,17.6,36.3,17.2,12.4,12.1
52308.0,13.3,26.6,18.7,28.0,13.3,9.2,9.5
60917.0,10.2,30.0,26.1,34.5,13.1,8.5,9.1
46779.0,17.0,25.5,25.0,30.7,12.0,7.1,6.4
44467.0,16.2,31.8,22.7,35.7,11.2,7.4,8.1
51579.0,14.1,31.6,21.4,28.1,13.1,9.8,8.8
48345.0,17.0,30.1,19.0,34.7,14.3,9.6,9.7
56627.0,13.2,40.7,16.9,40.1,14.6,9.6,8.3
45374.0,18.5,30.1,19.4,30.5,13.0,9.8,9.2
48070.0,13.5,49.0,17.5,37.0,16.0,13.5,11.5
50050.0,15.1,36.9,18.2,28.7,12.9,8.3,9.1
44152.0,15.8,46.2,11.4,38.7,15.3,12.8,9.9
53405.0,14.3,42.1,12.2,41.0,15.2,12.8,10.2
36096.0,27.4,39.1,13.7,38.0,18.8,12.1,10.6
42887.0,21.9,30.6,32.4,32.4,9.6,7.7,6.9
65776.0,9.3,42.3,20.3,33.6,9.7,5.8,7.1
104248.0,3.8,19.0,48.1,29.0,7.2,3.9,4.7
43755.0,16.1,40.2,16.5,34.0,12.5,10.8,9.4
48010.0,16.5,38.0,24.1,35.6,14.9,10.0,9.4
61022.0,9.5,41.6,14.2,41.5,12.8,10.4,8.4
42071.0,19.4,32.7,15.9,37.9,13.0,10.8,9.3
46411.0,18.1,33.6,19.4,39.5,15.9,10.5,10.2
